Product,SKU,Brand,Product Line,Classification,Shelf Inventory,Wholesale Price,Amount Sold (Units),Product
Lemon Cloud (Infused Distillate Disposable Vape Pen .5g),7253lemoncloudDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,100,$750.00 ,200,Lemon Cloud (Infused Distillate Disposable Vape Pen .5g)
Strawberry Freeze (Infused Distillate 510 Cartridge .84g),7375strawberryfreeze510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,80,$400.00 ,200,Strawberry Freeze (Infused Distillate 510 Cartridge .84g)
Watermelon Myst (Infused Distillate Disposable Vape Pen .5g),7373watermystDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,200,$750.00 ,200,Watermelon Myst (Infused Distillate Disposable Vape Pen .5g)
Watermelon Myst (Infused Distillate Luster Pod .84g),7373watermystLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,180,$400.00 ,200,Watermelon Myst (Infused Distillate Luster Pod .84g)
Durban Poison (CO2 Full Spectrum Luster Pod .84g),7594durbanpoisonLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,200,Durban Poison (CO2 Full Spectrum Luster Pod .84g)
Strawberry Cough (Infused Distillate Disposable Vape Pen .5g),7579strawcoughDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,150,$750.00 ,200,Strawberry Cough (Infused Distillate Disposable Vape Pen .5g)
Blueberry Banana Pancake (Infused Distillate Disposable Vape Pen .5g),7730bluebanpanDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,0,$750.00 ,200,Blueberry Banana Pancake (Infused Distillate Disposable Vape Pen .5g)
First Class Funk (CO2 Full Spectrum Disposable Vape Pen .5g),7664firstclassfunkDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,0,$750.00 ,200,First Class Funk (CO2 Full Spectrum Disposable Vape Pen .5g)
Grape Cookies (CO2 Full Spectrum 510 Cartridge .84g),7796grapecookies510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,40,$400.00 ,200,Grape Cookies (CO2 Full Spectrum 510 Cartridge .84g)
Jokerz (CO2 Full Spectrum Disposable Vape Pen .5g),7994jokerzDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,50,$750.00 ,200,Jokerz (CO2 Full Spectrum Disposable Vape Pen .5g)
Blue Blast (CDT Distillate Luster Pod .84g),7329blueblastLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,40,$400.00 ,180,Blue Blast (CDT Distillate Luster Pod .84g)
Animal Mints (CDT Distillate Luster Pod .84g),7330animalmintsLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,0,$400.00 ,180,Animal Mints (CDT Distillate Luster Pod .84g)
Gelato (CO2 Full Spectrum 510 Cartridge .84g),7328gelato510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,180,Gelato (CO2 Full Spectrum 510 Cartridge .84g)
Lemon Drip (Live Rosin Badder .84g),7701lemondripBAD,Pure Ohio Wellness,Badder (Live Rosin),Medical,0,$595.00 ,180,Lemon Drip (Live Rosin Badder .84g)
Sour Mango (Infused Distillate 510 Cartridge .84g),9945sourmango510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,0,$400.00 ,180,Sour Mango (Infused Distillate 510 Cartridge .84g)
Legendary Larry (CO2 Full Spectrum 510 Cartridge .84g),7935legendlarry510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,180,Legendary Larry (CO2 Full Spectrum 510 Cartridge .84g)
Lemon Drip (CO2 Full Spectrum Luster Pod .84g),7084lemondripLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,180,Lemon Drip (CO2 Full Spectrum Luster Pod .84g)
Animal Mints (CO2 Full Spectrum 510 Cartridge .84g),7121animalmints510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,220,$400.00 ,180,Animal Mints (CO2 Full Spectrum 510 Cartridge .84g)
Pure Balance 1:1 (CO2 Full Spectrum Luster Pod .84g),7154purebalanceLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,760,$400.00 ,180,Pure Balance 1:1 (CO2 Full Spectrum Luster Pod .84g)
Grape Ice (Infused Distillate Luster Pod .84g),7252grapeiceLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,320,$400.00 ,180,Grape Ice (Infused Distillate Luster Pod .84g)
Blood Orange (Infused Distillate 510 Cartridge .84g),7251bloodorange510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,120,$400.00 ,180,Blood Orange (Infused Distillate 510 Cartridge .84g)
Pineapple Coconut (Infused Distillate Luster Pod .84g),7374pinecocoLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,240,$400.00 ,180,Pineapple Coconut (Infused Distillate Luster Pod .84g)
Grape Cookies (Live Rosin Badder .3g),7496grapecookiesBAD3,Pure Ohio Wellness,Badder (Live Rosin),Medical,40,$180.00 ,180,Grape Cookies (Live Rosin Badder .3g)
Coco Freeze (CO2 Full Spectrum Luster Pod .84g),7917cocofreezeLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,120,$400.00 ,180,Coco Freeze (CO2 Full Spectrum Luster Pod .84g)
Jokerz (Live Rosin Badder .84g),7195jokerzBAD,Pure Ohio Wellness,Badder (Live Rosin),Medical,0,$595.00 ,160,Jokerz (Live Rosin Badder .84g)
Lemon Drip (CO2 Full Spectrum 510 Cartridge .84g),7300lemondrip510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,120,$400.00 ,160,Lemon Drip (CO2 Full Spectrum 510 Cartridge .84g)
Strawberry Cough (Infused Distillate Luster Pod .84g),7762strawcoughLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,0,$400.00 ,160,Strawberry Cough (Infused Distillate Luster Pod .84g)
First Class Funk (Live Rosin Badder .84g),7124firstclassfunkBAD,Pure Ohio Wellness,Badder (Live Rosin),Medical,0,$595.00 ,160,First Class Funk (Live Rosin Badder .84g)
